PRY
DAGLB
FERMT1
DIS3
ZNF80
RPL29
RPS8
PRDM12
CPNE9
COX15
YAP1
FNIP1
XK
ADHFE1
HRK
RPL3
BCL2L15
GDF5
RFC1
C9orf24
PPFIA1
TNFRSF12A
CYP4F2
COQ6
CABP1
PRDM9
SERPINB3
POLG
KRTAP20-1
TTC25
ETS1
ZNF600
TDGF1
ATP1A1
ELMO2
SMLR1
CLCN1
KRTAP26-1
RPS19
ANKRD2
GPA33
KRTAP9-8
CREB3
GREM2
RBMXL3
C16orf82
CALHM1
UCN3
TMEM40
LIF
LY75
SIAH1
KRT28
ABCB9
SLC7A4
POTEJ
MC2R
STAT2
NCOA6
HOXA9
ZBED3
GPD1
GLT8D2
TCOF1
NID2
HDAC5
LRRN2
GPS2
LYST
THEM5
LGALS4
DSE
SERPINB12
CELSR1
ZNF567
SERPINB11
CEACAM20
POLE3
SIGMAR1
ARL1
CLIP4
SAMD15
FGF16
OPHN1
ARHGAP36
SNRPA1
POLR1D
GPR137
GMDS
RB1
GDPD5
PTGER2
CTSD
GLDN
MECOM
PRAMEF13
VMP1
STAMBPL1
SLFN14
NPHP3
CA5A
DEPDC1
CELA2A
ICAM1
CYYR1
LCE3C
SPAG6
OR10H1
GNAS
HNRNPD
P2RY2
S100P
LPCAT4
TMEM100
LRRC46
PPP1R36
NRXN2
ARHGAP19
TENM3
ZP4
SHH
MYB
MT4
PRKCZ
PRM1
CCDC114
ROPN1B
S100A7A
ASS1
CWH43
GHRHR
STX4
ABHD12
SLC6A14
SYN2
FAM24A
NFATC4
RPLP1
EEF1B2
HEPHL1
TRAPPC3L
TSPY1
SERPINB4
TGFBR3
WNT9A
AREG
PDRG1
AICDA
CFL2
IGSF5
CHPT1
ZNF85
FOXA2
B3GNT6
EXOC3L4
ZNF829
SLC2A13
POLR3G
CSHL1
HM13
SLURP1
GDF3
DNAJC5
KRT7
PER1
CDC37L1
MUC5AC
EPB41
CA4
CEP95
OR2T10
SLC38A5
POU5F2
GART
RNF138
SRGAP1
HSF5
CT45A3
MC5R
ZNF652
HHLA2
HDAC11
PRR23C
TRPC5OS
AK7
GABRB2
FAM47E-STBD1
MAP7D3
JADE2
KRTAP9-9
NOB1
CENPI
SLC22A2
TNFAIP8L3
ISY1
SCLT1
USP5
METRN
BMP15
SLC43A1
GPR153
ASIC1
OPN4
C9orf78
TCF21
RCOR2
ZNF512B
ATP6V1C1
INPP5K
THUMPD2
TMEM17
GJB6
ODC1
FAM3D
PHF14
OR5P3
NDST1
IGF1R
CCDC88C
EFCAB8
SLC22A12
PMF1
CD59
POF1B
MAP3K14
ANKRD60
CDX1
RGL3
ZNF570
DCAF8L1
PER2
BCL2L1
KCTD4
HARBI1
WDR36
TUBGCP3
IQCJ-SCHIP1
DEFA6
CCDC116
LTA
EVA1A
NEK10
PF4V1
IQCF5
NACA
EED
GRAMD1B
TPT1
COX7B2
CARM1
GAPT
CRABP2
FXYD4
SLC4A1
LACRT
SLC39A2
C11orf53
AXL
NFE2
FTHL17
LCE1D
SPATA31D1
SHD
FAM216B
PLA2G2D
SULT1C3
ZNF607
BAG2
OR10R2
CDH16
IGSF23
PRG2
DSG1
NXPE1
SQSTM1
DGKD
PRG4
TNS2
PIP5K1B
RHCG
FARP1
AADACL2
KRTAP4-3
CIR1
KRTAP9-6
ACSS2
RPTN
SMIM5
LDHB
PRR23A
REEP5
ZNF764
BLOC1S6
LTBP4
EVX1
IMMP2L
KRTAP11-1
SLC5A1
BMP2
KRTAP2-3
BTBD3
SMARCA4
XPO7
SAG
RGS16
VEPH1
SLC9B2
SHISA4
BUB1
RETNLB
CPA4
TMEM174
TRPM3
TPSB2
RETN
STOML2
FNDC9
ZBTB32
SETD7
USP17L1
LCE3A
ATN1
NDC80
CLNK
GPHA2
NAV3
ZNF26
TAS2R1
KLRC3
DPPA4
OR5M8
ADCY8
GPR179
EXOSC8
USP17L20
ETNK2
MTG2
TTC23L
LRRC29
PROK2
BLCAP
CCL21
SCUBE2
RFPL4AL1
GPRC5B
ARRDC2
CDKN3
TNMD
PPP1R15B
DET1
SH3BP1
LDB2
ZNF461
OSM
SS18L1
VTN
NOP14
TST
KRTAP9-4
STAT1
ST8SIA6
TRIM50
OR10G3
DUOX1
PROK1
INMT
CYP2A13
C2CD3
GULP1
SLC4A3
SEMG2
ZNFX1
MAPK9
SDC4
GPR137B
ATP6V0E1
C12orf42
OTP
AGTR2
VWA3A
LYSMD4
ACAP1
NPHP1
HPDL
CPA5
BFSP2
KRT78
EXOSC2
PROSER1
SF3A2
SOX21
TEKT1
CORO1C
CENPU
RUVBL1
R3HDM1
NABP1
BDKRB2
KBTBD11
TTC14
KCNMA1
TMPRSS11F
TRIM60
WSB2
GLCE
CD5L
PLA1A
LCE6A
DSC1
DEFB104A
NOTCH2
NPY2R
DUOXA1
DIAPH2
SPANXN1
KRT1
OMG
LRRC10
AQP3
SNRPA
RPS11
TCF7
PMEPA1
FBXO32
CEBPE
PSG1
SLC6A9
ACTR3B
SSTR1
TMBIM4
EPHX3
UTS2B
OR2L5
ZBTB7A
SLC35G3
TREM1
SLC7A9
TXN
RPL34
GLIS1
KRT25
SLC25A15
NFS1
GDF2
GPR148
TMEM150B
KPRP
PPIC
PXMP4
NPM3
CACNA1C
RESP18
OR51T1
C22orf15
CRCT1
GPR75
ACSM5
BCL11A
NCKAP1
TMEM170B
LGALS12
RPL26
ZNF770
SNAPC4
ANKFY1
TMEM213
NDN
KIF21B
TMEM200A
TECRL
HTATIP2
LYN
GSTM2
GFPT2
SLC14A1
CD8B
CCNJ
MLPH
OR5P2
KRT77
HDGFL1
UGCG
HNRNPL
LRG1
P2RX6
LELP1
RPN2
SPRR1A
LMO2
TNFSF10
MPP7
SLC25A6
RPL9
RP1
THEMIS
AURKA
HEY1
AMOTL2
ZCCHC13
BPTF
FXYD3
C12orf54
ETS2
LRP5
KRTAP19-2
DFFB
OR10T2
NDUFA4L2
SPN
CTTN
WRN
SLC25A52
DEFB118
RPL24
DNAH7
POLDIP3
WDR43
HS6ST1
TMEM130
P2RX1
IFIH1
DUSP21
ATP8A1
IFNA7
NPHS1
TSPAN4
CACNB2
SH2D3C
FAM151A
PPP1R1B
DUSP7
MORF4L1
LANCL3
C2orf73
PLEKHA3
TKTL2
PIRT
LCE2D
NF2
DDX4
MYBL1
CD93
KRTAP9-7
FCRLA
OC90
CDH17
NYNRIN
RAB22A
PRPF38A
RPL36
RPS9
SAYSD1
KRTAP4-1
TSPY4
UNC45A
FAM83C
MAML3
FCRL4
ANKRD30B
APOD
GLB1L3
SPRR2E
WDR26
HNRNPH3
FOXA1
TMPRSS13
SCN4B
SHISA8
FBRSL1
SLC2A6
BAX
OR52A1
TRAF1
TUBA3C
TBC1D10A
GALNT5
UBE2C
KIF23
KRT35
TBC1D30
NAA16
CPA2
NPS
RNASEH2B
APOBEC1
LYPD8
ALDH3A1
BPIFA3
IMPDH1
SLC34A1
GLYATL3
LIMCH1
LCE2C
CATSPERD
FCRL2
RFFL
MIXL1
SPRR3
SAMD1
MOK
TMEM67
TMEM59L
SNPH
KRT6B
TTI2
EIF4E
SLC25A37
ALKBH3
GPCPD1
LAIR1
RPL11
KATNB1
BTRC
POTEG
RTF1
OR9G1
HLCS
SLC22A18AS
MYBPC2
INSR
PNP
TSPY2
E2F1
ZAN
ARF1
KLK13
ZNF256
ALOX15B
OTOP3
MRPL54
WDR82
KLF3
NOC3L
TMEM202
CPSF6
WFDC12
NPSR1
KRTAP4-5
RAD50
OSER1
EDNRA
PRAMEF26
SPATA31A3
C11orf80
TSPY3
DEGS1
DPYS
SH2D2A
SYNJ2BP
CES4A
CYB5R4
LILRA2
AQP1
PGLYRP3
MAOA
C2CD4A
PF4
NDUFAF6
C10orf99
IPO8
GTPBP1
HOXC12
ODF1
IGFL3
PGA4
C9orf57
PHLDB1
GNS
LCE1C
ZC3H13
VRTN
CATSPERG
MYRF
PCK1
TCL1A
DPT
ZNF280C
EOMES
IQGAP2
PTGDR
DDN
PXN
TTC21A
HMSD
RSL24D1
BPY2C
KRT75
GSTA5
RGS21
PSMA8
C4orf45
OSGIN2
ILF3
KRTAP12-1
LCE1A
CCL19
ZSCAN5B
TMBIM1
ARHGAP25
PLA2G15
PAGE2B
GPR162
SFRP5
CLDN17
CCDC167
MAG
BID
OR51G2
MYC
VCX2
PDGFB
RELL1
NLRP4
CR2
ITPRIP
ASCL4
ADO
LCE3E
NFAT5
PRAMEF25
SERPINA7
ATP8B4
RECQL
ESD
CDX4
RHBDF1
A1BG
TMEM121
MAGEC3
COA4
LCE1E
PEG10
CAP2
KRTAP10-5
TAOK2
VAV3
ZNF732
PRY2
UBXN10
SPRR2G
COMMD7
NDRG3
DSP
FAM117B
KRTAP29-1
KRTDAP
VSIG8
ADAM7
C1QTNF8
IL22RA1
KRTAP19-7
ARHGAP29
SNX21
ZBED4
KRT9
GPX8
HGF
OR4M2
NCKAP1L
EIF3A
SLC38A6
KLRC2
MFAP4
FKBP7
ARID5A
KRT26
TSPAN17
GAL3ST1
RTP2
OR52E6
PATE4
TMEM211
CLCA4
TNIP3
PLCD1
RPS17
RAB5B
PIP4K2C
PDGFRL
LRRC9
PFN4
RRP1B
DDX21
MAK16
ZNF726
MUC2
HSPB6
ELOVL7
CERS3
OCLN
GRP
MCEMP1
PPAN
NT5DC4
ZSWIM5
SIX4
NOLC1
KRBA1
C1orf115
SERPINA9
ST6GALNAC1
LRRC18
TCEAL3
SYNPR
INPP5F
C5orf47
DCBLD2
TPX2
ZNF711
KRT6C
SCN10A
CETN1
PHKG2
PANK1
DNAH5
LSM7
TTLL12
KIF4A
ANP32E
TMED9
EXTL2
TRAP1
CEP44
TRABD2A
BEGAIN
ALDH1L2
ACP2
LYPD2
SUCO
REL
LGALS7B
ZNF83
POTEB2
TSPY10
C4orf19
SDHAF3
FRG1
PIGR
RALGAPB
YIF1A
IMPDH2
FBL
A2ML1
DNAH3
MAP1A
WWTR1
VRK2
CENPA
PLA2G2C
MID1IP1
TBCCD1
UNC5D
CXCR2
TOMM20
INTS10
WWC2
ELMO1
MT1M
RBMS1
NUP188
VLDLR
PCGF2
MYOF
IL20RA
C12orf40
CAPS
TCF12
CH25H
ADCY10
NCF1
GABRQ
NEURL3
EPN3
RPL18A
FAM107B
FAM71F1
SLC16A8
ACTN3
MAB21L3
TTLL9
BLM
OTUD6A
TDRD12
MAGEB18
AFAP1L1
CELA2B
FAM110D
LCE2B
RPSA
TRPV6
RFPL4A
NDUFC2
LCE5A
OSR1
RBMX
CCDC148
FUT2
ZNF404
CDK15
IFNA2
TCFL5
PEA15
KCNMB3
FEM1B
GALNT10
C16orf54
PTPMT1
NCEH1
C4orf33
DNAJB2
CCDC151
DZIP3
SDR16C5
FOXP3
OR11H2
NCL
DNAH14
RGP1
SLC9A9
FOXK1
KHSRP
NLRP9
PRKX
UQCRH
VSTM4
PSAP
CXCL10
SBK2
DYNLRB1
ENTPD8
OR4C6
CARD10
OR51S1
B3GNTL1
HOXB9
SPINK4
EPB41L4A
OR7E24
RNASE12
KIF20A
TWSG1
ZNF474
MRPL23
LRFN1
CPN1
SVIL
LTA4H
OBSL1
FBXO36
SSC5D
TRIM64
SPTSSA
FABP9
C10orf90
MAP2K5
CAD
SMIM24
PTMA
KLHL8
FANCE
SEC14L2
GALNT9
EPB42
MAT1A
ANP32B
HNF1B
ADAMTSL1
SZT2
DTWD1
ACAA2
GRAP2
CAMKV
SMC3
ERLIN1
TYRO3
SLC22A24
GCLM
LMCD1
FAM186A
POLR1E
SATB2
MYO1A
CSDC2
CBX7
KRTAP8-1
MAP3K9
SLFN12
ASAP1
TBC1D7
RASAL3
DEFB105B
CHUK
NMNAT1
ADAD2
SDSL
ORC1
SPRR4
TTC22
CCDC24
GTSF1L
TSPAN8
DHPS
TIRAP
SLC35D2
GAS2L3
PTGR1
TTC6
CDCA3
GRXCR2
ZNF507
BPIFC
RPUSD4
CDSN
KLF13
CDX2
TPM1
PXDC1
PGLYRP4
OR2L8
CYP17A1
SPINK7
MRPS26
IKZF3
SLC6A18
TRIM48
DAZL
IL17REL
ARL4A
KLK9
NEK11
ITGA3
PRPF4
MYL9
PSD
SLC17A3
KRTAP9-3
KRT36
CALML3
RASAL2
DNAH9
PGA3
SLC22A13
PELP1
RNASE11
USH1G
CHKA
COL18A1
FCRL3
TNPO2
EHF
PPM1H
S100A13
ENOPH1
MYO5A
PTPN7
OR52E4
F2
GUCA2A
C22orf42
CEACAM16
CLASP2
HEXIM1
SMARCC1
IFNA14
ADH7
LCE1B
PRLR
MTX2
SLC6A7
KRTAP4-4
TBATA
TTPAL
RIPK2
APELA
SPATA18
TAPBP
MCPH1
KRTAP19-3
LRRIQ3
TRIM42
LGALS7
IREB2
RPL10A
GTF2IRD1
STK36
ANKRD39
PRAMEF6
E2F3
ENPP3
TCF4
ATOX1
EIF3L
TGM6
KBTBD6
AMBRA1
BCAR3
OR2W3
TADA1
HNRNPC
ZBTB7C
SMR3A
DEFB4B
SRPK1
RNASEK
CSAG2
ZNF175
C6
SOX13
GAL
GTF2H5
CLRN3
ASPRV1
GALNT15
SULT1B1
TNN
MEIG1
KCTD1
KRT13
DUOXA2
DSG4
PLD2
EBPL
OR6K2
SENP1
RGS6
TECR
LCE4A
OR7D4
BAHD1
NOX1
FBXO40
C10orf95
C8orf37
PRKACG
HNRNPDL
SPRR2F
PIGU
BBS12
AMOTL1
UTP14C
RPL10L
PSMB11
STATH
KRTAP13-2
ARSH
SGCE
C11orf96
EFHB
TMEM244
SLC10A6
TMEM150C
MPST
EN1
MAST3
SERPINA10
CHP2
ZNF611
SMU1
KEL
MXD1
DGKI
ESRRG
EFHC1
BOD1L2
COMTD1
TMEM127
ENPP2
DIXDC1
ZNF195
GJB2
HEATR5A
PRAMEF5
ANGPTL2
IL21
PRAMEF15
COL16A1
PDE4A
DCTN6
PSD2
TNFRSF1B
ZNF571
TMA16
OSMR
STK26
OR52L1
RPL39
RNF122
NPTX1
TTC29
ZNF429
RFXAP
PIWIL1
CCK
CPQ
ERN2
OLFM4
RSPO2
KRTAP24-1
TAF4
C3orf18
INPP5D
LZTFL1
ZNF124
NECAB3
SMNDC1
SLK
CC2D2B
HERC1
USH2A
TMEM229B
ERCC8
TRIP12
ZNF304
TMPRSS6
PTCRA
HMGCS2
FBXO34
IL5
FGFR1
KIAA1958
F11R
MARVELD1
RSPH4A
NVL
CST5
EBP
ERICH3
YTHDF1
BRPF3
DHRS13
GIPC2
ADGRE1
DNAI1
ACTR3C
ZNF569
ZMYND19
LPAR6
DCDC1
CABYR
MBOAT7
GRAP
APOBEC4
PPM1G
RPLP2
LYZL6
CCDC87
RALGAPA2
LIPH
NIFK
GPIHBP1
PMF1-BGLAP
STRN
CACNB4
C20orf85
RASGRP4
ZNF655
CHD8
C22orf23
PIR
AMPD3
HJURP
SERPINE1
ANKH
DHX33
CNIH3
N4BP2
SLC39A13
ASXL1
CYTH4
RTN2
NDP
NLRP12
MMP20
NUP37
CTNNA1
NXPE3
EPB41L3
AAR2
TDRD9
HCN2
HECW1
MBD4
CFAP52
SLC27A5
PPP4C
CNNM1
FOXA3
TUBAL3
TUBA1C
KY
STX1B
LYRM7
HACD2
PSTPIP1
PAFAH2
ZNF155
GPR20
HECW2
WDR4
MYH15
PDE11A
FAM185A
KDM7A
CX3CR1
MGAT4A
MSX1
LSM6
RAB3A
HOXA7
ST8SIA4
CORT
IDH3A
TRMT11
NSDHL
AFP
HSPA12B
CA1
OMP
NPTXR
RNF215
LAMA2
COX7A1
KCNT2
SPATA4
PHC1
CYB5D2
NLRP8
EGLN3
CHRNB4
TRA2B
RIMBP2
RPS6KC1
C16orf71
PFKM
