CST8
GPR15
PDLIM7
OR4A5
PTH
SERPINF1
ACTRT1
PCDHA13
SRD5A2
KMT2A
FN1
GIP
PASD1
NXPE4
TMPRSS11A
RASD1
UPF3B
BCAP29
RILPL2
CEACAM18
PLA2G4D
GOT2
C12orf42
SRP54
KCNQ1
LCE1C
GATM
LCE3B
OR2J1
HELZ
LECT2
CRYGA
IQGAP3
PXN
UFSP1
CETN1
ONECUT3
OR2T1
GZMB
SPATA33
MPHOSPH8
TPRG1
KRT26
KLRC2
DDB1
LYZL1
BPY2C
KIF23
GRPR
EPB42
TEX35
MAGEB2
TADA2A
WDR44
ELK3
GOLGA5
ACSBG1
MRPL11
TWSG1
KLK1
THAP11
UBE3A
DEFB4A
MUC21
UNC5B
RPL18
CD53
PGLYRP3
PGA4
TRIM49D2
CGB8
USP1
SMNDC1
ZFP1
PNLIP
IRX6
CBL
ENPP4
PSMD10
PRDM13
SERPINB3
PHYHD1
CTSD
HIC2
BCL2L15
SPATA31A5
MUC5AC
MFSD2A
ANAPC5
OPN4
ENTPD6
HNRNPD
ACRV1
NAA40
VPS13A
KLK13
SPRR2F
RETSAT
HEATR5A
STK38
STATH
RNMT
GNPTG
PDE4A
ZNF566
RPL7L1
GAGE12H
NUBPL
LCE1B
TRIM42
ZNF862
TGM6
DEFB4B
CT45A2
UBE2J1
PRAMEF14
PAGE5
TSPY2
TMEM106B
A2ML1
IFNA10
RHCG
ZSWIM8
NPHS1
LRG1
TEKT4
TNFAIP8
NLRP12
ARGFX
ASPM
FAM3D
HDGFL1
PSMD8
RPS8
CKAP2L
KRTAP9-8
LMBR1L
CELA3A
ANP32E
ENTPD8
TEX29
CNOT6
ACSM6
KPRP
LYN
SPTA1
ARL5A
GLIPR1L1
UBE3B
PRSS38
TAF15
OR5M10
DIAPH2
DSC1
FAM9A
STAT1
OR4A15
CNST
CARM1
RETN
GPR39
CDY2B
SPRR2E
OC90
WWOX
ANLN
RBM27
OR1S1
MAGEB18
PRSS23
VRTN
OR2C3
SPINK9
LRRC41
FAM98B
KRTAP9-6
PSMG4
CEP55
SPATA31D1
FBXL3
TAS2R10
PALB2
OTUD6A
SH3GLB2
PAGE2
SLC6A11
TTK
COQ10A
LGALS7B
LTBR
DCP2
SPIN3
ENDOU
MAP2
MYL12A
KIAA0100
CCDC62
CMC4
MCEMP1
XPA
ZC4H2
IL1F10
FRMD1
DOK1
RPL10A
EBPL
FOXC2
ZNF367
AQP2
PRAMEF2
SPEN
HHIPL1
CT45A10
DMRTC2
GSTA5
RHBDF1
CYB5R1
FBL
CNOT1
KRT6B
ATP6V0B
EFCAB7
KRT1
LCE6A
DDRGK1
TTC9B
TMPRSS11F
ATF7IP2
SEMG2
DEFB104A
SPATA24
TP73
OR9I1
DPPA4
TAS2R1
TAF1
KRTAP9-2
METTL9
SPATA31A1
CLEC5A
NGEF
SS18L1
PRPF6
GPR141
USP37
RPTN
HK2
SETD2
ENOX2
MRPL57
RAVER1
OR6M1
KRTAP11-1
RNF183
PRR23A
ALDH1B1
ARRB1
MTSS1
MVP
LACRT
AURKA
SCAF4
RHNO1
COX7B2
APP
SSX4B
POTEH
ALOX5AP
CD96
MYO1H
OR5M8
XRN2
USP17L20
ADNP2
TM9SF4
CD5L
PLA1A
AGAP2
PLAC8
HSPA6
ACBD7
SPANXN1
FRMD3
HMG20A
SNRPA
NFYB
TBC1D24
INTS5
PRAMEF8
SDC4
NT5C1B-RDH14
CDC14B
CTAG1B
BOLA1
VN1R2
PDCD1
CUTA
KRTAP9-4
C19orf25
CRISPLD2
RPP21
DEFB103B
PLAA
ZNF84
NAT16
LIN7C
PTH2
SAGE1
RDH12
ST6GALNAC4
PROK2
SYT15
LCE3A
IL9
RNF114
CLNK
TMEM265
SLC38A7
RPL36A-HNRNPH2
OR10R2
HJURP
MBNL2
FEZF2
PIGT
LDLR
LCE3D
PADI1
FOXM1
CSTF2
PDCD1LG2
ANHX
UNC93A
UGT2B4
DUOX2
TIMD4
PURB
SPINT1
RBMY1J
XCL1
MAGEC2
FCER1A
MAZ
ADAD1
ABCB6
SERPINB4
TSPY1
IL32
TSPYL6
POM121L12
ZNF688
OR12D2
IL26
PRMT1
MAN1A2
PPY
FOXN4
TSPY8
PLEKHD1
GPR89A
EFR3B
DCAF8L2
MCTP2
CYP11B2
MSX1
INS
PYDC2
NAGPA
RBMY1A1
ZC3H12B
THRAP3
GFOD2
RAB3GAP2
PRAMEF26
KRTAP4-5
PNP
CT45A9
EPB41L2
KLHL11
RSF1
TMPRSS11B
TCP11X1
OR8J1
OXA1L
BARHL1
CPA2
FAM199X
PLA2G4E
CERS4
PRR20C
NELFE
SPINK8
HNRNPCL3
CT47B1
HIPK1
GMEB1
NUDT18
MANBAL
VSIG2
RABGGTA
FAM151A
S100A8
MBTD1
LAPTM4A
RHBDD2
IL36B
PEX12
HAX1
AUTS2
KRT77
GLMP
BCKDK
NXNL2
POTEG
OR5J2
RPL11
SMCHD1
TNFAIP3
SSX2
DEFB135
USP15
PAPSS1
NCOA6
RALGAPB
MC2R
RNF31
KRTAP4-2
RPL17
PCDHA2
OR9K2
PVALB
OR9Q2
BPIFA2
NGDN
SMC3
FAM186A
SF1
OR52E6
TRIML1
SCN10A
SRSF10
SLC18A1
PIK3C2G
PKMYT1
SERBP1
PATE4
KRT28
PRAMEF7
LRIT1
PAK6
TGM7
ABCC5
HTR3A
SZRD1
GAGE1
SERPINB13
DIAPH3
OVCH1
NR6A1
NLRP9
CLIC6
RAD9A
MAF
PSMB11
MYH10
ADRM1
MYL12B
UCP2
PRAMEF5
OR3A3
C20orf85
FER1L6
CALHM3
TSPY3
POLD3
FAM104B
BOD1L2
TET3
CLCA4
TPRX1
SERPINB11
CPN1
SLC6A20
TTI1
CYP3A5
HMGN4
LCE1A
APLF
SERPINB12
MUC6
PSMA8
GAGE13
BCAT1
EOMES
PSAPL1
ATP6V1E1
BCKDHA
ARHGAP29
DIS3
BTN1A1
C15orf39
SNRK
JAGN1
KRTDAP
IL2RA
CEP97
KCNJ18
PARP16
PAGE1
GPR156
UQCRC2
MTNR1B
RBMXL3
IKBKG
CTLA4
UBXN10
POLR1D
SPINT3
SPRR2G
PRR20E
TMEM168
CARD10
MRM1
OR56A3
OTUD7B
DNAJC24
MED16
DDIT4
LRRC30
OCA2
PRB1
DAD1
AHSG
CALML3
CMIP
TRIM64
OR51G2
TPTE
TRPC5
ABCC4
POLR3B
SHROOM2
TAAR6
FABP9
SUMF1
GAGE10
PPP1R11
LDHA
CCSER2
IL17REL
RGR
OR2L8
EPAS1
GCNT7
DEFB105B
NPIPA7
HCN1
CTAG2
SMARCC1
GGTLC3
ADRA1A
NDUFAB1
ZBTB7C
KRTAP8-1
USP10
EDEM2
TEX26
CSAG2
RNASE12
LAMTOR3
MAGEC1
SRPRB
NCEH1
KRTAP9-3
GOLGA1
TAS2R7
PGA3
OR6C74
LYRM2
CLDN17
WFDC6
CENPA
EEF2K
IQCF1
OR2B2
PHF3
CEACAM16
SLC52A2
PSMC2
KCNK6
CHMP3
SPRR4
ME3
SIN3A
PHLPP1
TNFRSF1B
GRIN3A
ARL14EPL
SUCO
WAS
NOSIP
CEP250
OR5H1
C12orf40
OR5B3
TCN1
VSIG8
OR8J3
GRM3
LCE4A
KRT15
PRR7
ACSM4
OR5D16
SCFD1
HNRNPC
SCGB2A1
PDZD8
PRR20B
SPINK7
CDSN
VASP
MRPL45
RFXAP
EXD3
RASA1
XPO5
OR4P4
LGALS7
CD2AP
CDK7
RBM7
XIAP
C11orf96
UBR1
CHKB
NSMCE4A
EMC7
PRSS3
POTEB2
C15orf48
SPATA18
IGFL3
LCE2B
ZNHIT3
EIF3L
ZNF382
PRR20A
GPR63
GPN2
PDPN
HTR3E
TXLNG
ROR2
GIPC2
EIF3K
PTPN12
MIS18A
ADAM7
DBN1
TMPRSS11D
CSHL1
UGT2B11
TUSC3
DNPH1
PLA2G4C
BPIFC
C8orf74
NFATC1
B3GNT6
TFEC
UGT8
PCBP1
NEURL2
CT45A3
SLC22A9
ACER1
OR8H3
PRAMEF11
PRC1
DCBLD2
PDE11A
GLYR1
OR4M2
CENPI
SETBP1
STOML3
C1orf141
DOT1L
NKAIN3
SLURP1
KRT84
RPL3
UBE3D
MRGPRX3
VCY1B
FIG4
ASCL4
AVPR1B
PATL1
PRAMEF13
OR5T1
KCTD5
PIP4K2C
ACP2
CXCR2
KRT36
LCORL
GPD2
KRTAP2-4
OR8H1
CDC42SE2
SMC2
YTHDF1
CATSPER1
MAGEB5
ERGIC3
KRBOX4
CT45A8
TTC5
MAGEB17
EVPLL
WRAP73
BAZ1A
ABCB7
RCCD1
ATP6V1G1
TCF4
PSIP1
PKD1L3
RSBN1
BCORL1
SCRT2
WNT5B
TBATA
CTSL
PDSS1
PATZ1
PLEKHA6
ACACA
FBXL12
FZD8
RPS25
HSFY1
VCX2
MC3R
KRT75
LRRC72
MAGEB1
INPP5D
GAGE12J
SLC33A1
PRR23C
GLRA1
HSPBP1
SCPEP1
NDUFAF2
KRTAP9-9
C10orf99
NEU2
CDCA5
CNGA2
SRPK1
DCDC2C
SEH1L
TSNAX
ITPRIPL1
LY75-CD302
TMEM211
CD274
NPC2
RFX7
ARG1
WDR37
KDM3B
TMC2
LCE3C
THAP5
LCE3E
RHBG
MAPK14
CRISP1
ASB9
OR4C6
DDX19A
ZNF395
SFMBT1
DAZL
PPARGC1B
MED1
PERP
CLCN1
NEDD4
ADH7
CT45A5
MCPH1
MAGEA9
PNLIPRP1
C5orf47
CTRB2
FIGN
C5orf22
DSG4
OR9A2
RAB9B
KCNU1
CDC5L
ILF3
SMLR1
KIF4A
TSPY10
ZNF678
PIH1D1
BTG2
KCNJ10
KLK7
OR7E24
GNG8
TM9SF1
CUL4A
PKN3
CYP11B1
MMS19
PRY2
REG1A
PANK2
SLC38A6
LBHD1
NCKAP1L
LILRA2
RHOC
ADGRE5
SPATA32
PRAMEF15
TERF2
KRTAP24-1
KRTAP6-3
OR4N4
XAGE5
KRTAP20-1
LYPD2
MAP4K1
GPR146
LEFTY1
RPS3
FIGNL1
ARHGAP4
GATAD2A
RXFP2
ANKRD35
SERPINA7
RPLP2
IBA57
CDX4
FATE1
ACIN1
ATP12A
PRAMEF25
TIMP3
KNTC1
RBMXL1
RNF151
NBL1
PABPN1
CASP14
TPX2
EFHB
KRT6C
MAT1A
OLFM1
ALK
RPL10L
SLC10A6
TMEM39A
MRPS27
ERN2
DEK
KRTAP26-1
CDCA3
ZNF425
QPCTL
ISOC1
BNC2
MYH4
OR5P3
MON2
LYPD6
ZIC2
TERF1
ZNF625
CRYZ
IRF5
GSR
HPX
ZNF574
DCTD
HIVEP2
ERP29
RCN2
HNRNPL
C1QBP
GDF15
SPATA25
UPK2
RAB11B
PPP1R37
COPS8
RNGTT
SARAF
ZNF720
GNAT2
TUBB1
PDLIM5
LAMP1
YES1
PIM3
TIMM8A
B3GNTL1
ABCC1
DAPL1
SLC26A11
ANKRD27
FOXO6
ENOX1
POLA1
PPP6R3
DCUN1D2
NACA
MDP1
FASTKD1
XK
HBM
ATRX
SPDYE1
WDR77
SIMC1
SCP2D1
CELA3B
ZBED4
THY1
ZFP36L2
ZNF789
PIP4K2B
GLUL
C5orf63
NIPSNAP3B
HDAC2
COL26A1
RUNX2
EGFR
DMRTA2
FBXO16
PHF12
TFDP1
DHPS
HECTD4
RGS6
LUC7L
TCTN3
EMC3
LRP10
DPH7
GBA
PID1
RNF138
PTPRM
BCAP31
OR11H4
BCL10
CCDC174
ASPH
TBC1D3E
KIF2A
PRB2
CYP2C9
ARHGEF2
ORC2
RAB8A
BEST3
CAPS2
NDUFB10
STRN3
BAZ2A
TMEM263
B9D2
TNFRSF12A
NLRP4
COQ6
CBFA2T3
TTC13
GREB1
ANKIB1
MCM3AP
FAM217A
PTGIS
TRIM66
PSPC1
CLEC3A
RBMX
AMACR
HIGD2A
CDKN2AIP
PARP4
CHST7
SMCO4
FAM209B
TBCA
SPDYC
KLK11
RALBP1
SAMD5
KCNQ4
SH3BGRL
UCKL1
SLAMF9
NCAPG
HBD
ZNF440
EFCC1
TUBB3
AGL
GEMIN4
FITM2
NWD2
PTCRA
ZNF180
LEPR
FAM222B
LRRC37A3
HGS
LMO3
DIP2A
NR0B1
ZHX3
MRPL52
KRTAP5-11
HHIP
TIAL1
ZNF852
