,DrugID,Drug,PUTATIVE_TARGET,MOA,DRUG_SYNONYMS,SMILES,repurposing_target
221,1919,Osimertinib,EGFR,EGFR signaling,"AZD9291, AZD 9291, AZD-9291, Tagrisso, Mereletinib",CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,EGFR
222,1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling,"AZD2171, AZD 2171, AZD-2171, Recentin",CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,"FLT1,KDR,FLT4,FLT3,KIT,PDGFRB"
223,1924,Ipatasertib,"AKT1, AKT, AKT3",PI3K/MTOR signaling,"GDC0068, GDC 0068, GDC-0068",C[C@@H]1C[C@H](C2=C1C(=NC=N2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)C4=CC=C(C=C4)Cl)O,"AKT1,AKT2,AKT3"
224,1925,GDC0810,"ESR1, ESR2",Hormone-related,"GDC-0810, GDC 0810",CC/C(=C(/C1=CC=C(C=C1)/C=C/C(=O)O)\C2=CC3=C(C=C2)NN=C3)/C4=C(C=C(C=C4)F)Cl,"ESR1,ESR2"
225,1926,GNE-317,PI3Kalpha,PI3K/MTOR signaling,"GNE317, GNE 317",CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)C5(COC5)OC,PIK3CA
226,1927,GSK2578215A,LRRK2,"Other, kinases","GSK 2578215A,  GSK-2578215A",C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4,LRRK2
227,1928,I-BRD9,BRD9,Chromatin other,"GSK602, GSK 602, GSK-602",CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F,BRD9
228,1930,Telomerase Inhibitor IX,Telomerase,Genome integrity,"MST-312, MST 312, MST312",C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O,TERT
229,1931,MIRA-1,TP53,p53 pathway,"MIRA 1, MIRA1, NSC19630, NSC-19630, NSC 19630",CCC(=O)OCN1C(=O)C=CC1=O,TP53
230,1932,NVP-ADW742,IGF1R,IGF1R signaling,"NVP ADW742, NVPADW742",C1CCN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6,IGF1R
231,1933,P22077,"USP7, USP47",Protein stability and degradation,"P 22077, P-22077",CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-],"USP7,USP47"
232,1936,Savolitinib,MET,RTK signaling,"AZD6094, Volitinib, AZD-6094, AZD 6094",C[C@@H](C1=CN2C=CN=C2C=C1)N3C4=NC(=CN=C4N=N3)C5=CN(N=C5)C,MET
233,1939,UMI-77,MCL1,Apoptosis regulation,"UMI 77, UMI-77",C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br,MCL1
234,1940,WIKI4,"TNKS1, TNKS2",WNT signaling,"WIKI-4, WIKI 4",COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6,"TNKS,TNKS2"
235,1941,Sepantronium bromide,BIRC5,Apoptosis regulation,"YM155, YM-155, YM 155",CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],BIRC5
236,1996,MIM1,MCL1,Apoptosis regulation,"MIM 1, MIM-1",CC1=CSC(=NC2CCCCC2)N1/N=C/C3=C(C(=C(C=C3)O)O)O,MCL1
237,1997,WEHI-539,BCL-XL,Apoptosis regulation,"WEHI539, WEHI-539",C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)/C(=N/NC5=NC6=CC=CC=C6S5)/C1,BCL2L1
238,1998,BPD-00008900,,Other,-,,
239,1999,N25720-51-A1,,Unclassified,-,,
240,2000,N27922-53-1,,Unclassified,-,,
241,2002,N30652-18-1,,Unclassified,-,,
242,2003,N29087-69-1,,Unclassified,-,,
243,2010,HKMTI-1-005,,Unclassified,-,,
244,2011,ICL-SIRT078,SIR2,Other,-,COC1=C(C2=CC=CC=C2C=C1)CN3C=NC4=C(C3=O)C5=C(S4)CC(CC5)NCC6=CN=CC=C6,SIRT1
245,2038,UNC0638,"G9A, GLP",Chromatin histone methylation,-,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5,"EHMT2,EHMT1"
246,2039,AGK2,"BAZ2A, BAZ2B",Chromatin histone acetylation,-,C1=CC2=C(C=CC=N2)C(=C1)NC(=O)/C(=C/C3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl)/C#N,"BAZ2A,BAZ2B"
